,Unnamed: 0,x1,y1,x,y,angle,size
38,38,481,124,884,-549,-0.5557471279061027,1040.6041514428048
39,39,502,124,882,-136,-0.15299010193804627,892.4236662034461
57,57,460,145,495,-753,-0.9892571604794128,901.1292915003928
58,58,481,145,769,-618,-0.6769571804820091,986.5520766791786
59,59,502,145,975,-30,-0.03075952607046923,975.4614292733464
60,60,523,145,885,662,0.6422343704190766,1105.2008867169804
61,61,544,145,739,636,0.7114055868167622,975.6485022793812
85,85,523,166,469,719,0.9928095434048892,858.4416112933949
86,86,544,166,529,646,0.8846454794342304,834.9592804442623
87,87,565,166,468,553,0.8684583383030079,724.4535871952048
112,112,523,187,276,740,1.213803959332646,789.7949100874226
113,113,544,187,357,549,0.994229057041488,654.8663985882922
114,114,565,187,480,657,0.9398314343997788,813.6639355409578
140,140,544,208,245,588,1.176005207095135,637.0
