,Unnamed: 0,x1,y1,x,y,angle,size
3,3,82,19,-196,-370,-2.0600519972558287,419.1765737729149
4,4,103,19,-214,-360,-2.1059032493384624,419.6629600048114
5,5,124,19,-246,-433,-2.08745178616667,498.00100401505216
19,19,103,40,-165,-321,-2.0480569562236064,361.3820692840197
20,20,124,40,-238,-400,-2.1093755641447154,465.96244483863717
21,21,145,40,-189,-306,-2.126452743041598,360.1888393606887
35,35,103,61,-176,-346,-2.043649659628982,388.6450823051798
37,37,145,61,-213,-319,-2.158077429746159,384.4073360382187
54,54,145,82,-192,-329,-2.099059739693686,380.9265020971894
70,70,124,103,-192,-378,-2.0428736623552353,424.4207817720522
110,110,145,145,-170,-371,-2.0004657898532403,408.09435183545486
