,Unnamed: 0,x1,y1,x,y,angle,size
19,19,376,250,-2,0,3.1415926535897927,2.0
20,20,481,250,-2,0,3.1415926535897927,2.0
25,25,439,271,-4,0,3.1415926535897927,4.0
26,26,460,271,-3,0,3.1415926535897927,3.0
27,27,481,271,-2,0,3.1415926535897927,2.0
28,28,502,271,-2,0,3.1415926535897927,2.0
32,32,271,292,-2,0,3.1415926535897927,2.0
33,33,355,292,-2,0,3.1415926535897927,2.0
35,35,481,292,-2,0,3.1415926535897927,2.0
37,37,523,292,-2,0,3.1415926535897927,2.0
38,38,544,292,-2,0,3.1415926535897927,2.0
39,39,565,292,-2,0,3.1415926535897927,2.0
40,40,586,292,-1,1,2.3561944901923453,1.4142135623730951
47,47,481,313,-2,0,3.1415926535897927,2.0
48,48,502,313,-2,0,3.1415926535897927,2.0
49,49,523,313,-5,0,2.9441970937399127,5.0990195135927845
50,50,544,313,-2,0,3.1415926535897927,2.0
59,59,397,334,-6,0,3.1415926535897927,6.0
60,60,418,334,-4,0,3.1415926535897927,4.0
62,62,460,334,-6,0,3.1415926535897927,6.0
63,63,481,334,-5,0,2.9441970937399127,5.0990195135927845
64,64,502,334,-4,0,3.1415926535897927,4.0
77,77,418,355,-4,0,3.1415926535897927,4.0
78,78,439,355,-3,1,2.8198420991931514,3.1622776601683795
79,79,460,355,-10,0,3.1415926535897927,10.0
80,80,481,355,-6,0,3.1415926535897927,6.0
91,91,418,376,-8,0,3.1415926535897927,8.0
