,x1,y1,x,y,angle,size
0,19,61,20,-13,-0.5763752205911837,23.853720883753127
1,40,61,20,-16,-0.6747409422235526,25.612496949731394
2,61,61,41,-24,-0.5295895987820763,47.50789408087881
3,82,61,29,-19,-0.5645693936681,35.510561809129406
4,103,61,51,-26,-0.47145995006090724,57.245087125446844
5,124,61,35,-22,-0.5611634122883522,41.340053217188775
6,145,61,49,-30,-0.564083721049657,57.982756057296896
7,166,61,55,-40,-0.628796286415433,68.00735254367721
8,187,61,103,-67,-0.5835082517861068,123.42204017111368
9,208,61,107,-78,-0.6299067801288528,132.41223508422476
10,229,61,114,-65,-0.5182009349438651,131.2288078129189
11,250,61,122,-69,-0.5209097808482157,140.65560778013793
12,271,61,130,-94,-0.6260465224935314,160.4244370412438
13,292,61,97,-74,-0.651697646543197,122.00409829181969
14,313,61,110,-73,-0.5859017663021323,132.01893803541975
15,334,61,89,-56,-0.5616234996724975,105.152270541344
16,355,61,93,-61,-0.5880026035475675,111.77208953938367
17,376,61,108,-66,-0.5485494024505281,126.57013865837392
18,397,61,87,-62,-0.6191613471304624,106.83164325236227
19,418,61,94,-56,-0.5372847143007717,109.41663493271945
20,439,61,86,-53,-0.5523034908682436,101.01980003939822
21,460,61,77,-43,-0.5191461142465229,88.68483523128404
22,481,61,87,-55,-0.5637486004187707,102.9271587094485
23,502,61,64,-40,-0.5585993153435624,75.47184905645283
24,523,61,85,-49,-0.5317240672588056,98.6154146165801
25,544,61,60,-33,-0.515549007458979,68.96375859826666
26,565,61,53,-30,-0.5150728170187818,60.90155991434045
27,586,61,54,-35,-0.5667292175235064,65.19202405202648
28,607,61,52,-31,-0.5375866466587464,60.53924347066124
29,628,61,41,-23,-0.5112307122777895,47.01063709417264
30,19,82,170,-108,-0.570147358408015,201.94306128213466
31,40,82,175,-93,-0.4884732074264843,198.17668884104407
32,61,82,169,-97,-0.5185124007698844,195.7268504830137
33,82,82,184,-93,-0.46798597657642893,206.1674077054858
34,103,82,147,-74,-0.4690383923600127,165.91865476793137
35,124,82,108,-65,-0.5417800436487799,126.05157674539419
36,145,82,139,-85,-0.5488403538534324,162.92943257741985
37,166,82,146,-94,-0.5689270161826122,174.4849563716024
38,187,82,130,-80,-0.5516549825285468,152.64337522473747
39,208,82,100,-50,-0.4636476090008061,111.80339887498948
40,229,82,91,-64,-0.6129350918706182,111.25196627475849
41,250,82,127,-110,-0.7099116184635249,168.77203559831824
42,271,82,204,-150,-0.634022719663422,253.21137415211032
43,292,82,141,-93,-0.5830765350191446,168.90825912311098
44,313,82,181,-104,-0.521522818030462,208.75104790156144
45,334,82,217,-130,-0.5397415342727622,252.96047122030745
46,355,82,183,-107,-0.53315570550763,212.49235280357738
47,376,82,250,-134,-0.49203115156773863,283.6476687723698
48,397,82,225,-124,-0.5036958710213609,256.9065978132909
49,418,82,206,-108,-0.48287600810051334,232.59406699226014
